"Count on me" - Bruno Mars
4/4
180
C3,D3,E3,F3,G3,A3,B3,C4,D4,E4,F4,G4
# Intro
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
# Intro
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Verse ##############################################################
#C3,D3,E3,F3,G3,A3,B3,C4,D4,E4,F4,G4
# C
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
# Em
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
# Am then G
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
# F
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
# Verse ##############################################################
#C3,D3,E3,F3,G3,A3,B3,C4,D4,E4,F4,G4
# C
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
# Em
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
# Am then G
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
# F
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
# Pre-chorus ##############################################################
#C3,D3,E3,F3,G3,A3,B3,C4,D4,E4,F4,G4
# Dm
 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0
 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0
 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0
 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0
# Em
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
# F
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
# G
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
# Chorus ##############################################################
#C3,D3,E3,F3,G3,A3,B3,C4,D4,E4,F4,G4
# C
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
# Em
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
# Am then G
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
# F
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
# Chorus ##############################################################
#C3,D3,E3,F3,G3,A3,B3,C4,D4,E4,F4,G4
# C
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
# Em
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1
# Am then G
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
# F
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
