"Pink Pony Club" - Chappell Roan
4/4
100
F#3,G#3,A#3,B3,C#3,D#3,E3,F#4
# F#
 1,  0,  1,  0,  1,  0, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  1,  0,  1,  0, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  1,  0,  1,  0, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  1,  0,  1,  0, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
#
# G#m
 0,  1,  0,  1,  0,  1, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
 0,  1,  0,  1,  0,  1, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
 0,  1,  0,  1,  0,  1, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
 0,  1,  0,  1,  0,  1, 0,  0
 0,  0,  0,  0,  0,  0, 0,  0
#
# D#m
 1,  0,  1,  0,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  1,  0,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  1,  0,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  1,  0,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
# B
 1,  0,  0,  1,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  0,  1,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  0,  1,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
 1,  0,  0,  1,  0,  1, 0,  1
 0,  0,  0,  0,  0,  0, 0,  0
